id,date,city_name,neighborhood_name,latitude,longitude,n_mortos,n_feridos,n_agentes_mortos,n_civis_mortos,n_homens_mortos,n_mulheres_mortos,n_trans_mortos,n_homens_feridos,n_mulheres_feridos,n_vitimas
e5e97da0-8ccf-4fab-b782-0f22c4853178,2017-03-07T00:00:00Z,São Gonçalo,Rio Do Ouro,-22.8994799,-42.9775889,0,4,0,0,0,0,0,4,0,4
e5eb0b8a-8e0f-47a1-b0a2-a329e3f85caa,2022-10-19T22:00:00Z,São João De Meriti,Parque Araruama,-22.8022044,-43.3469661,1,0,0,1,1,0,0,0,0,1
e5ef2681-80b6-456f-a358-f162027a276d,2023-11-10T07:01:00Z,Nova Iguaçu,Riachao,-22.7468004,-43.5228799,1,0,0,1,1,0,0,0,0,1
e5f77833-a4f6-40ec-a18c-43147fd20bcf,2020-03-05T15:30:00Z,Duque De Caxias,Gramacho,-22.7525456,-43.300204,1,0,1,0,1,0,0,0,0,1
e60a60d5-b1c8-423f-b49a-2af01dc1878b,2019-08-06T20:00:00Z,Niterói,Jacare,-22.9405836,-43.0563605,0,1,0,0,0,0,0,0,1,1
e60f9e95-003e-4276-a9e5-f25ce86aa56a,2021-08-25T22:00:00Z,Niterói,Engenhoca,-22.8714162,-43.0941434,0,1,0,0,0,0,0,1,0,1
e6104d3c-d4f5-44a9-a1c0-36890b784892,2022-08-03T03:40:00Z,São João De Meriti,Venda Velha,-22.7848107,-43.3486925,0,2,0,0,0,0,0,2,0,2
e6117078-de34-493b-932d-37fca7f5ebab,2021-08-04T19:00:00Z,Itaboraí,Itamarati,-22.7171558,-42.8980963,0,2,0,0,0,0,0,2,0,2
e61abd3b-784c-4197-8f8c-08386ef959e5,2023-04-25T19:30:00Z,Rio De Janeiro,Campo Grande,-22.9084217,-43.537001,1,0,0,1,1,0,0,0,0,1
e61ead3a-9e95-417a-a87c-06b1f543eb3c,2022-09-03T12:00:00Z,Rio De Janeiro,Realengo,-22.880022,-43.4499976,1,0,1,0,1,0,0,0,0,1
e6223915-52a2-40c7-91c6-df2f2bdc42d7,2020-03-25T11:00:00Z,Rio De Janeiro,Guadalupe,-22.8328106,-43.3823075,1,0,0,1,1,0,0,0,0,1
e6253cc2-f59e-43c2-8edb-417b493c54d4,2022-05-31T14:24:00Z,Rio De Janeiro,Vila Kennedy,-22.8581095,-43.4875308,0,1,0,0,0,0,0,1,0,1
e625e58a-7511-4cf0-988c-86d86a310ad8,2022-04-06T05:00:00Z,Duque De Caxias,Santa Cruz Da Serra,-22.6432972,-43.2834913,0,1,0,0,0,0,0,1,0,1
e6274909-4bff-4edd-9d0c-fd70482ad68d,2020-07-29T16:00:00Z,Rio De Janeiro,Tijuca,-22.915146,-43.2206027,0,1,0,0,0,0,0,1,0,1
e62d1237-573f-4de3-a5d9-6e2f3f4b53f8,2021-02-23T15:00:00Z,Rio De Janeiro,Maracana,-22.9102585,-43.2335385,1,0,1,0,1,0,0,0,0,1
e6316512-d9bc-40a0-b890-804f4ca4f3c2,2023-05-24T05:42:00Z,Rio De Janeiro,Complexo Do Alemao,-22.86059073611677,-43.27394697952453,2,0,0,2,2,0,0,0,0,2
e6329aea-8609-47bc-97b4-7f9b4c14a977,2017-06-14T00:00:00Z,Rio De Janeiro,Monero,-22.7976207733,-43.1948814392,1,0,1,0,1,0,0,0,0,1
e639e054-a249-4f69-ab78-bb5df885bc58,2019-01-12T02:00:00Z,Nova Iguaçu,Riachao,-22.740946,-43.521895,1,0,0,1,1,0,0,0,0,1
e63f8af0-d142-466c-878c-5688de32b79d,2022-10-04T05:00:00Z,Duque De Caxias,Figueira,-22.6844937,-43.3032188,0,1,0,0,0,0,0,1,0,1
e658b322-5317-4856-a43c-1eb560deafd2,2019-08-13T19:23:00Z,Rio De Janeiro,Bangu,-22.8961141,-43.4777639,3,1,0,3,2,1,0,1,0,4
e65c940f-b910-4d19-9ac7-8ddbccb803e7,2023-07-03T09:00:00Z,Japeri,Sao Jorge,-22.67037617652371,-43.6155250324896,0,2,0,0,0,0,0,2,0,2
e662a740-d939-4836-9cf4-035923e6da8a,2019-12-30T01:30:00Z,Niterói,Fonseca,-22.8781886,-43.091985,0,1,0,0,0,0,0,1,0,1
e66780e3-fff7-4742-a306-35c5349fb5c8,2017-01-21T00:00:00Z,Rio De Janeiro,Complexo Do Alemao,-22.8593330383,-43.2754745483,0,1,0,0,0,0,0,0,0,1
e679c934-802c-4c97-9f20-370af3575968,2018-07-07T20:27:00Z,Rio De Janeiro,Anchieta,-22.821231,-43.412350000000004,0,1,0,0,0,0,0,1,0,1
e67aab4b-00a0-466d-9d78-aa5a712eceb6,2021-03-27T17:07:00Z,Queimados,Inconfidencia,-22.7212512,-43.5416095,0,1,0,0,0,0,0,1,0,1
e67c188b-d71c-4c3f-b068-0c635af29aa4,2023-03-11T14:00:00Z,Rio De Janeiro,Vila Kennedy,-22.8604006,-43.4884116,1,0,0,1,1,0,0,0,0,1
e681316a-6f67-45a0-bf40-15f4c114ac03,2017-03-13T12:00:00Z,Rio De Janeiro,Acari,-22.8255310059,-43.3444595337,1,0,0,1,1,0,0,0,0,1
e6892e71-39e3-4ca6-84ed-48eb2b9390e1,2023-02-12T02:00:00Z,Rio De Janeiro,Realengo,-22.8915756,-43.41804901,3,0,0,3,3,0,0,0,0,3
e694f0c4-c63a-49d8-8a21-ff19e9a5e3b5,2017-05-12T00:00:00Z,Niterói,Jurujuba,-22.9320640564,-43.1151657104,1,0,1,0,1,0,0,0,0,1
e6a0531b-0fae-4dae-8c88-0de051c69ea5,2018-12-17T16:50:00Z,Rio De Janeiro,Bento Ribeiro,-22.8752834,-43.3591368,1,0,0,1,1,0,0,0,0,1
e6a97e85-0363-4417-a772-0896a6d7e291,2017-10-26T21:30:00Z,Rio De Janeiro,Piedade,-22.8822555542,-43.3101425171,2,0,0,2,2,0,0,0,0,2
e6af03e3-dd9e-40f9-9179-5fd361f3bbe3,2019-05-29T05:10:00Z,Rio De Janeiro,Cidade De Deus,-22.951838,-43.3546,1,1,0,1,1,0,0,1,0,2
